Seniority,Function,Subject Line,Hook 1,Z_Contact Status,Email Opened,Email Replied
Director,Distribution,Your 14+ years of distribution & food safety experience ,"Not usually a fan of cold email, but felt compelled to reach out after coming across your extensive distribution experience. Currently looking to source feedback on the project I'm working on from Sr distribution professionals in F&B - would love to connect.",Unresponsive,,
Director,Delivery,MIT alumni - founder seeking feedback ,An MIT MBA with extensive operations experience across multiple industries - don't think there is a more ideal professional to exchange ideas with!,Interested,8/30/2022,8/16/2022
VP,Distribution,Your extensive distribution career in retail ,"Super impressed with your distribution career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,,
VP,Distribution,Your experience managing distribution centers ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,,
VP,Distribution,Your 15+ years of experience in distribution & operations ,I'd be grateful for an opportunity to hear your perspective on a platform I've been maturing in Canada. I believe I could learn from your deep understanding of distribution and warehouse operations in retail.,,8/20/2022,
Director,Distribution,Your experience improving processes,"Just read your LI bio. Very impressive! Given your experience, I bet you've got some amazing insights to share.",Replied - Update me,11/22/2022,11/22/2022
VP,Distribution,Your 20+ years finance career  ,"Not usually a fan of cold email, but felt compelled to reach out after coming across your extensive financial planning profile. Currently looking to source feedback on the project I'm working on from Sr finance professionals - would love to connect.",Unresponsive,,
Director,Distribution,Congratulation on the success!,Just read that Abbott has reported great Q3 earnings in a very challenging logistics environment. Congratulations on the success! I have a few friends at Abbott and I'm rooting for your continued success.,Attempting to Contact,,
Director,Distribution,Your expertise managing facilities,Saw that you have a ton of experience managing manufacturing and distribution facilities. Had to reach out!,Attempting to Contact,,
Director,Distribution,Question for a logistics expert ,"Realized after reading your LinkedIn that you worked in the iconic blockbuster! For sure, you have good stories & experiences to share. Currently, I am working on a potential software solution that I think might finally be approaching market-ready status, but am trying to gather feedback first. Given your extensive background in logistics in the retail industry, you'd be an ideal connection to contribute - I'd be grateful for a moment of your time.",Unresponsive,7/22/2022,
Director,Distribution,Question for a logistic expert - Retail industry,"I've been working on a potential software solution that I think might finally be approaching market-ready status, but am trying to gather feedback first. Given your extensive background in logistics & distribution in the retail industry, you'd be an ideal connection to contribute - I'd be grateful for a moment of your time.",Unresponsive,7/26/2022,
Director,Fulfillment,Your logistics extensive expertise ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,,
Director,Supply Chain,Your 28+ years finance & supply chain career ,"Super impressed with your global & supply chain career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,,
Director,Distribution,Your 29+ years of logistics & distribution experience ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Attempting to Contact,,
Sr. Manager,Logistics,Your 18+ years of experience in Logistics ,"Saw your 18+ years of experience in Logistics & Distribution, particularly intrigued by your experience working at Advance Auto Parts. Would love to learn how you've thought about tech's role in Distribution & improving frontline performance. ",Unresponsive,11/11/2022,
Director,Supply Chain,Your experience leading transformation,"I was just reading about Ed Vance - Advances #1 fan and advocate. Pretty clever! I started down a rabbit hole, ended up on your LI, and noticed you have a ton of experience in supply chain and transformation. Had to reach out!",Attempting to Contact,,
Director,Supply Chain,Question for a supply chain optimization expert ,"You have quite a unique and accomplished career to day in Supply Chain Optimization, Megan. It's why I'm reaching out 1:1 to you in particular re: your experience at Advance Auto Parts.",Unresponsive,,
VP,Distribution,Your extensive distribution experience ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Attempting to Contact,,
Director,Distribution,Your distribution & transportation expertise ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Not Interested,9/27/2022,9/19/2022
Director,Warehouse Operations,Your 23+ years of warehouse operations career ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,8/2/2022,
Director,Fulfillment,Your extensive operations background ,"Not usually a fan of cold email, but felt compelled to reach out after coming across your profile. Currently looking to source feedback on the project I'm working on from Sr operations & fulfillment professionals - would love to connect.",Attempting to Contact,8/10/2022,
Director,Warehouse Operations,Your warehouse operations experience ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,,
Director,Warehouse Operations,Your 7-year tenure,"A Katz graduate with 7+ years with the team & a recent focus on warehouse operations - couldn't think of a better-suited professional to connect with about a project of mine. As an early-stage founder looking to determine my company's best strategy forward, your feedback would be invaluable to me.",Unresponsive,8/30/2022,
Director,Warehouse Operations,Entrepreneur Seeking Feedback,A Kentucky MBA with an emphasis in Supply Chain Management & over a decade's worth of experience with the Aldi team - couldn't think of a more ideal professional to connect with for a project of mine. Your wealth of knowledge & unique perspective would be invaluable to me while my company determines our best strategy forward,Unresponsive,,
Director,Warehouse Operations,Your real estate & warehouse development expertise,"I've been working on a potential software solution that I think might finally be approaching market-ready status, but am trying to gather feedback first. Given your background in warehouse management & real estate in retail, you'd be an ideal connection to contribute - I'd be grateful for a moment of your time.",Attempting to Contact,,
Director,Warehouse Operations,Your extensive career in distribution,I’m in the process of interviewing supply chain execs and wanted to reach out after looking more into your experience over the years. Would love to connect!,Unresponsive,,
Director,Warehouse Operations,Your logistics & warehouse operations expertise ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,9/6/2022,
Director,Warehouse Operations,Your extensive warehouse operations experience ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,9/5/2022,
Director,Warehouse Operations,Idea exchange Logistics & Fulfillment,"I've been working on a potential software solution that I think might finally be approaching market-ready status, but am trying to gather feedback first. Given your extensive supply chain & operations background in telecommunications, you'd be an ideal connection to contribute - I'd be grateful for a moment of your time.",Unresponsive,,
Director,Distribution,Your distribution career,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,,
Sr. Manager,Supply Chain,Supply chain conversation,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",,9/22/2022,9/13/2022
Director,Distribution,Your 16 years at AEO,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Attempting to Contact,,
Director,Warehouse Operations,Your warehouse automation experience ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Attempting to Contact,8/23/2022,
Director,Distribution,Your experience in distribution ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,,
Director,Delivery,Not Another Mike Myers Reference,"Though tempted, I refuse to be one of the probably hundreds of people that have tried to make a reference to either the comedian or Halloween Mike Myers. Hopefully, however, the thought proves to serve that a robot didn't write this. Super impressed by your background & would be grateful to gain your feedback while my company determines our best strategy forward.",Unresponsive,8/30/2022,
Sr. Manager,Supply Chain,You career at Anheuser-Busch,Came across your profile and couldn't avoid noticing your impressive supply chain career at Anheuser-Busch. Curious about your opinion about tech's role in supply chain. Would love to connect! ,Unresponsive,11/18/2022,
Director,Warehouse Operations,Passion for Golf + Warehouse Operations expert ,Came across your profile and was super impressed with your 12+ years at AB InBev & loved reading about your journey at the University of Illinois and passion for Golf.,Attempting to Contact,,
Director,Warehouse Operations,Your extensive Warehouse Automation experience ,"You have quite a unique and accomplished career to day in Warehouse Automation, Josh. It's why I'm reaching out 1:1 to you in particular re: your experience at Anheuser-Busch InBev.",Attempting to Contact,,
VP,Supply Chain,Your warehouse automation experience ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,,
Sr. Manager,Supply Chain,Your supply chain expertise,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion about whether the product we're building solves key challenges that you've experienced.",Attempting to Contact,,
Sr. Manager,Logistics,Not afraid to get dirty even in a managerial role,"Super impressed with your career at Barry Callebaut Group and loved reading that you are ""not afraid to get dirty even in a managerial role."" Had to reach out!",Replied - Update me,11/22/2022,11/9/2022
Director,Supply Chain,Your 17+ years of operation & supply chain experience ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Attempting to Contact,8/15/2022,
Director,Supply Chain,Your experience building supply chain systems,Found your profile while checking out the Supply Chain team at Bass and noticed you have a ton of expertise in designing supply chain systems. I'm looking for insights from leaders like you and was compelled to reach out.,Attempting to Contact,,
Director,Distribution,Question for an expert in distribution & transportation ,"I've been working on a potential software solution that I think might finally be approaching market-ready status, but am trying to gather feedback first. Given your background in distribution & transportation, you'd be an ideal connection to contribute - I'd be grateful for a moment of your time.",Attempting to Contact,8/12/2022,
VP,Supply Chain,Collaboration conversation supply chain,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,8/23/2022,
Director,Distribution,Your distribution and operations background ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,9/6/2022,
Director,Fulfillment,Your warehouse automation experience,"Not usually a fan of cold email, but felt compelled to reach out after coming across your profile. Currently looking to source feedback on the project I'm working on from Sr supply chain professionals - would love to connect.",Unresponsive,,
Director,Supply Chain,Your career in supply chain,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,,
Director,Distribution,Your career in distribution ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,,
Director,Distribution,Your career in distribution ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,,
VP,Distribution,Your 29+ years of operations & distribution career ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,,
VP,Distribution,Your extensive career in distribution ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Attempting to Contact,,
Director,Distribution,Your 27+ years in distribution ,"Super impressed with your 27+ years distribution career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,,
Director,Distribution,4+ years at Big Lots ,Impressed by your 4+ years at Big Lots and wanted to see if you would be willing to connect with me. ,Unresponsive,9/6/2022,
Director,Distribution,Your Operations Expertise,"Not usually a fan of cold email, but felt compelled to reach out after coming across your remarkable 55+ years of operations & distribution experience. Currently looking to source feedback on the project I'm working on from distribution leaders & can't imagine there is a professional with a larger wealth of knowledge than yourself - would love to connect.",Unresponsive,8/23/2022,
Director,Distribution,Your 27+ yrs distribution career ,"Super impressed with your 27+ years career at Big Lots and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Attempting to Contact,,
Director,Supply Chain,Your business and technical experience,"Just read your profile on LI and noticed you have experience implementing systems and working on automation projects that optimize distribution centers. I know this is a long shot, but I'd love to get your insights on the platform I'm building in collaboration with The Home Depot.",Attempting to Contact,11/21/2022,
VP,Supply Chain,Your impressive supply chain background ,"Not usually a fan of cold email, but felt compelled to reach out after coming across your impressive supply chain profile. Currently looking to source feedback on the project I'm working on from Sr supply chain professionals - would love to connect.",Unresponsive,8/2/2022,
VP,Supply Chain,Your 19+ years career in operations ,"Super impressed with your operations background and your 19 yrs career at Bimbo, and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Attempting to Contact,,
Director,Distribution,Your 38+ years of distribution career in F&B,"Given your extensive distribution career in the F&B industry, I don't think there is anyone better suited for a productive/meaningful conversation - would be grateful for a moment of your time. ",Attempting to Contact,,
VP,Distribution,Veteran + expert in distribution & fulfillment,Extremely impressed with your distribution & fulfillment experience - curious about how you feel working in the private sector after almost ten years with the military. I'd value a chance to connect.,Unresponsive,,
Director,Distribution,Your distribution experience ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,9/5/2022,
Director,Distribution,Your 15+ years of distribution experience ,"Super impressed with your 15+ years of distribution experience and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,,
VP,Distribution,Your career in distribution  ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,,
Director,Distribution,Your 10+ yrs career in retail ,"I've been working on a potential software solution that I think might finally be approaching market-ready status, but am trying to gather feedback first. Given your impressive distribution background in retail, you'd be an ideal connection to contribute - I'd be grateful for a moment of your time.",Unresponsive,8/5/2022,
VP,Distribution,Your extensive career in distribution ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,,
VP,Supply Chain,Your Operations Expertise,"I'm extremely impressed by your extensive operations experience - can't imagine the wealth of knowledge you've accumulated throughout your 21-year tenure at Cablevision & time overseeing logistics in the Marine Corps. I was compelled to reach out, as your insights & unique perspective would be invaluable to me while my company determines our best strategy forward.",Unresponsive,,
Director,Warehouse Operations,Your 15+ years of warehouse operations experience ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Attempting to Contact,8/17/2022,
Director,Supply Chain,Collaboration conversation - supply chain ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,8/30/2022,
VP,Supply Chain,Your supply chain experience ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,,
Director,Supply Chain,Your Recognized Expertise,I'm extremely impressed by your extensive manufacturing & supply chain experience - can't imagine the wealth of knowledge you've accumulated over the course of your 35+ year career. I was compelled to reach out after reading about your breadth of expertise & recognition as a thought leader. Your insights & unique perspective would be invaluable to me while my company determines our best strategy forward.,Unresponsive,,
Director,Supply Chain,Your career in supply chain,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,,
VP,Delivery,Your extensive operation career ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,8/15/2022,
VP,Supply Chain,Your 19+ years of supply chain experience ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,,
Sr. Manager,Supply Chain,Your deep expertise in Supply Chain,"Reaching out primarily because it's clear you have the specific experience I'm looking to learn more from. Would be great to catch up with you, 1:1.",Attempting to Contact,,
Director,Supply Chain,Supply chain conversation ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,,
Director,Supply Chain,Your 16+ years of distribution & supply chain career ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,9/5/2022,
Director,Supply Chain,Your 20+ years of supply chain & operations experience ,"Super impressed with your supply chain & operations career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,8/9/2022,
Director,Supply Chain,Veteran & expert in supply chain and manufacturing ,I am extremely impressed with your distribution & manufacturing background - curious how you feel working in the private sector after six years with the military. I'd value a chance to connect.,Unresponsive,8/15/2022,
Director,Distribution,Your 10+ years operations expertise ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,9/5/2022,
Sr. Manager,Continuous Improvement,Your Fulfillment & eCommerce distribution experience ,"Given your expertise in fulfillment and history of working in eCommerce Distribution, I'd love to get your input on a platform my team has been working on. Your insight would be so valuable.",Unresponsive,,
Director,Fulfillment,Your 5+ years of technical supply chain & logistics experience ,"Super impressed with your logistics & supply chain technical career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Attempting to Contact,8/2/2022,
Director,Supply Chain,Your supply chain experience,Saw you have a lot of experience managing e-commerce distribution and probably know the challenges pretty intimately. Would love to connect!,Attempting to Contact,,
Director,Distribution,Your distribution background ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,8/25/2022,
Sr. Manager,Continuous Improvement,"Hi, Coach","As a leader in ops and process improvement (and a youth coach!) surely you're the right person for me to speak with. I'd love to hear your opinion, 1:1, as a leader at CHS.",Attempting to Contact,,
VP,Supply Chain,Your supply chain & operation career ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Attempting to Contact,9/6/2022,
Sr. Manager,Supply Chain,Your career in supply chain,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Attempting to Contact,9/13/2022,
Director,Delivery,Your New Role,"Belated congratulations on your new role at Ciena after spending an impressive 14+ years at TI. Hoping the dust has settled and you can spare a moment, as your feedback would be invaluable to me while my company determines our best strategy forward.",Unresponsive,,
Director,Distribution,Your warehouse automation experience ,"I've been working on a potential software solution that I think might finally be approaching market-ready status, but am trying to gather feedback first. Given your extensive supply chain & operations background in telecommunications, you'd be an ideal connection to contribute - I'd be grateful for a moment of your time.",Unresponsive,9/8/2022,
Director,Distribution,Your distribution expertise ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,,
Director,Distribution,Your 19+ years of distribution & operations career ,"Not usually a fan of cold email, but felt compelled to reach out after coming across your extensive distribution background in F&B. Currently looking to source feedback on the project I'm working on from Sr. distribution executives - would love to connect.",Interested,10/3/2022,8/1/2022
Sr. Manager,Warehouse Operations, Your experience leading 13+ warehouses across Beltway South,Came across your profile and ended up reading about your impressive career progression at Comcast & experience leading 13+ warehouses across Beltway South. Had to reach out!,Hot on the Hook,11/18/2022,11/18/2022
Sr. Manager,Warehouse Operations,30+ years of experience in warehouse and distribution,Stumbled upon your LinkedIn profile and couldn't avoid noticing your 30+ years of experience in warehouse and distribution & impressive career progression at Comcast. Had to reach out!,Not Interested,11/18/2022,11/18/2022
Director,Supply Chain,Idea exchange Logistics & Fulfillment,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,8/29/2022,
Head,Warehouse Operations,Idea exchange Logistics & Fulfillment,Really impressed with your experience in supply chain over the years - I’m in the process of conducting interviews regarding a current initiative of mine and would be thrilled at the opportunity to connect.,Unresponsive,11/14/2022,
Director,Supply Chain,Your Supply Chain Expertise,Extremely impressed by your extensive background overseeing supply chain ops - can't imagine the wealth of knowledge you've accumulated over the course of your career & was compelled to reach out. Currently looking to source feedback on the project I'm working on & believe your feedback would be invaluable to me.,Unresponsive,,
Director,Supply Chain,Question for a supply chain expert ,"You have quite a unique and accomplished career to day in Supply Chain, Rose. It's why I'm reaching out 1:1 to you in particular re: your experience at Comcast.",Attempting to Contact,,
Director,Delivery,Your 22+ years of delivery operations career ,"Super impressed with your delivery operations career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,,
VP,Delivery,Your extensive operations background,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,8/29/2022,
Director,Delivery,Your 19+ years in the telecom industry ,"Not usually a fan of cold email, but felt compelled to reach out after coming across your operations profile in the telecommunication industry. Currently looking to source feedback on the project I'm working on from Sr. professionals working in the telecommunication industry - would love to connect.",Unresponsive,,
Director,Delivery,Your extensive career in distribution,"I've been working on a potential software solution that I think might finally be approaching market-ready status, but am trying to gather feedback first. Given your extensive supply chain & operations background in telecommunications, you'd be an ideal connection to contribute - I'd be grateful for a moment of your time.",Unresponsive,10/5/2022,
VP,Distribution,Warehouse automation innovation,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,11/22/2022,
Director,Supply Chain,Your 20+ years of supply chain & distribution experience in telecom,"I've been working on a potential software solution that I think might finally be approaching market-ready status, but am trying to gather feedback first. Given your background in supply chain & distribution in the telecommunication industry, you'd be an ideal connection to contribute - I'd be grateful for a moment of your time.",Unresponsive,,
Director,Distribution,Your 24+ years of distribution & logistics career ,"I've been working on a potential software solution that I think might finally be approaching market-ready status, but am trying to gather feedback first. Given your distribution, operations, and logistic background in consulting, you'd be an ideal connection to contribute - I'd be grateful for a moment of your time.",Attempting to Contact,8/2/2022,
Director,Warehouse Operations,Your extensive data warehouse experience ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Attempting to Contact,8/2/2022,
Sr. Manager,Warehouse Operations,Your experience with compliance,Came across your profile and was impressed with your career at Conagra Brands & extensive experience with ensuring compliance with regulatory agencies and plant policies. Had to reach out!,Attempting to Contact,,
Director,Warehouse Operations,Your warehouse operations background ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Hot on the Hook,9/2/2022,8/29/2022
Sr. Manager,Supply Chain,Supply chain conversation,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,,
Director,Warehouse Operations,Over the years at Conagra,Wanted to get in touch after coming across your impressive tenure with Conagra. Impressed with your warehouse and operations experience and would love to connect.,Attempting to Contact,,
Director,Distribution,Your distribution expertise ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Attempting to Contact,,
Director,Distribution,Your 15+ years of Supply chain & transportation experience ,"Not usually a fan of cold email, but felt compelled to reach out after coming across your profile. Currently looking to source feedback on the project I'm working on from Sr supply chain professionals - would love to connect.",Attempting to Contact,,
Director,Warehouse Operations,Your warehouse solutions expertise ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,8/29/2022,
Director,Warehouse Operations,Your 20+ years of distribution & operations background ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Attempting to Contact,,
Director,Warehouse Operations,Your warehouse operations career ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,,
Sr. Manager,Supply Chain,Supply chain conversation,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,9/15/2022,
Director,Supply Chain,Collaboration conversation - Supply chain ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,,
Director,Distribution,Ashley HomeStore to Crate and Barrel ,Really impressed by you and what you were able to accomplish in your career! Would be honored to connect with a leader like you.,Unresponsive,,
Director,Supply Chain,Your 32+ years of supply chain experience ,"Given your 32+ yrs of supply chain and logistics experience in the transportation industry, I don't think there is anyone better suited for a productive/meaningful conversation - would be grateful for a moment of your time. ",Unresponsive,,
Head,Warehouse Operations,Your warehouse operations expertise ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,9/13/2022,
Director,Delivery,Your digital operations background ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,8/30/2022,
Sr. Manager,Supply Chain,Your career at CVS,Impressed with your career at CVS and would love to hear your opinion about the role of tech in Supply chain. ,Attempting to Contact,,
Sr. Manager,Supply Chain,From PC to CVS Health,"Your background in Supply Chain intrigued me and it's why I'm interested in speaking with you, 1:1, Michael.",,11/3/2022,
Sr. Manager,Fulfillment,Omni Channel fulfillment experience in Retail ,"Given your consultancy expertise & Omni Channel fulfillment experience in Retail, I'd love to get your input on a platform my team has been working on. Your insight would be so valuable.",Unresponsive,,
Sr. Manager,Warehouse Operations,Your experience implementing SAP S4/Hana and SAP ERP,Came across your profile and was super impressed with your Warehouse career at CVS & extensive experience with implementing SAP S4/Hana and SAP ERP. Had to reach out!,Attempting to Contact,,
Director,Supply Chain,Your extensive distribution experience ,"Not usually a fan of cold email, but felt compelled to reach out after coming across your profile. Currently looking to source feedback on the project I'm working on from Sr supply chain professionals - would love to connect.",Unresponsive,11/18/2022,
Director,Logistics,Question - Forecasting + inventory management,Came across your profile and ended up reading about your impressive career in CVS Health & extensive experience in demand forecasting and inventory management. Would love to connect! ,Attempting to Contact,11/10/2022,
Director,Supply Chain,Your supply chain experience & airport transportation knowledge ,Came across your profile and ended up reading about your impressive supply chain career & your expertise in transportation with a focus on airport operations. Had to reach out!,Attempting to Contact,,
Director,Supply Chain,Your supply chain expertise,Saw you're focused on suppy chain efficiencies and improving performance. Pretty much what I've built my career on. I'd love to get your insights!,Attempting to Contact,,
Director,Warehouse Operations,Your warehouse operation & analytics expertise ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,9/6/2022,
Director,Distribution,Your 23+ years of logistics & operation career ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Not Interested,8/11/2022,8/11/2022
Director,Supply Chain,Your supply chain optimization experience ,"You have quite a unique and accomplished career to day in Supply Chain Optimization, Lauren. It's why I'm reaching out 1:1 to you in particular re: your experience at CVS Health.",Unresponsive,,
Director,Distribution,Veteran + expert in operations & logistics ,Extremely impressed with your operations & logistics experience - curious how you feel working in the private sector after 18+ years with the military. I'd value a chance to connect.,Attempting to Contact,8/16/2022,
Director,Logistics,Your logistics career at CVS,"You have quite a unique and accomplished career to day in Logistics, Mace. It's why I'm reaching out 1:1 to you in particular re: your experience at CVS Health.",Unresponsive,11/7/2022,
Director,Distribution,Distribution collaboration conversation ,"Not usually a fan of cold email, but felt compelled to reach out after coming across your profile. Currently looking to source feedback on the project I'm working on from Sr Distribution professionals - would love to connect.",Unresponsive,8/19/2022,
VP,Distribution,Your extensive logistic & distribution career ,"Super impressed with your logistic & distribution career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Attempting to Contact,,
Director,Warehouse Operations,Your supply supply chain Background,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Attempting to Contact,8/7/2022,
Director,Supply Chain,Supply Chain BI Expert ,"Saw your experience in the Retail industry, particularly intrigued by your expertise in Supply Chain BI. Would love to know how you've thought about tech's role in Supply Chain.",Unresponsive,11/14/2022,
Director,Distribution,Your distribution experience ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Interested,9/13/2022,8/23/2022
VP,Distribution,Dollar General <> Smart Access,Thought the experience you had highlighted on your LinkedIn was really impressive! Curious to learn more about what you are up to at Dollar General and thought it made sense to reach out.,Unresponsive,9/19/2022,
VP,Distribution,you are a bit of a mystery....,man on LinkedIn! Been hoping to connect with leaders in your position and I wanted to reach out to connect.,Unresponsive,,
VP,Distribution,Amazon to DG,Just saw you transitioned to DG after about 15 years at Amazon! Impressed by your expertise I wanted to reach out to connect. ,Unresponsive,,
VP,Distribution,"James, I am a founder seeking feedback",Just finished reading through your LinkedIn profile and became really curious to learn more from a leader like you with your level of expertise. Would be honored to connect.,Unresponsive,11/14/2022,
VP,Distribution,Your experience in distribution ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,,
